#animals
easy:cat,dog,bat,fox,ant,owl,bear,wolf,frog,lion
medium:tiger,zebra,coala,camel,shark,otter,goose,bison,sloth,snake
hard:flamingo,seahorse,penguin,porcupine,armadillo,buffalo,chameleon,platypus,peacock,hedgehog

#colors
easy:red,blue,pink,cyan,gold,teal,gray,maroon,black,white
medium:navy,silver,brown,purple,orange,green,yellow,indigo,violet,maroon
hard:turquoise,lavender,sapphire,emerald,chartreuse,crimson,aquamarine,periwinkle,mahogany,fuchsia

#countries
easy:peru,iraq,chad,laos,mali,cuba,oman,japan,haiti,nepal
medium:eqypt,spain,brazil,cyprus,norway,turkey,france,mexico,belgium,germany
hard:kyrgyzstan,lesotho,liechtenstein,luxembourg,mozambique,turkmenistan,switzerland,philippines,netherlands,burkinafaso

#fruits
easy:fig,acai,kiwi,plum,pear,date,lime,avocado,guava,banana
medium:apple,grape,banana,mango,peach,orange,lychee,melon,olive,lemon
hard:watermelon,mangosteen,grapefruit,clementine,nectarine,jackfruit,raspberry,pomegranate,dragonfruit,strawberries

#sports
easy:gym,run,ski,row,tag,jog,golf,bmx,polo,judo
medium:chess,rugby,squash,hockey,soccer,tennis,karate,boxing,squash,athletics
hard:gymnastics,badminton,wrestling,cricket,football,skateboarding,kickboxing,motorsport,archery,lacrosse
